No;Provinsi;Kab/Kota;Kecamatan;Kelurahan;;;
279;BANTEN;KABUPATEN LEBAK;CIBEBER;CITOREK TIMUR;;;
280;BANTEN;KABUPATEN LEBAK;CIBEBER;GUNUNG WANGUN;;;
281;BANTEN;KABUPATEN LEBAK;CIBEBER;HEGARMANAH;;;
282;BANTEN;KABUPATEN LEBAK;CIBEBER;KUJANGJAYA;;;
283;BANTEN;KABUPATEN LEBAK;CIBEBER;KUJANGSARI;;;
284;BANTEN;KABUPATEN LEBAK;CIBEBER;MEKARSARI;;;
285;BANTEN;KABUPATEN LEBAK;CIBEBER;NEGLASARI;;;
286;BANTEN;KABUPATEN LEBAK;CIBEBER;SINARGALIH;;;
287;BANTEN;KABUPATEN LEBAK;CIBEBER;SITUMULYA;;;
288;BANTEN;KABUPATEN LEBAK;CIBEBER;SUKAMULYA;;;
289;BANTEN;KABUPATEN LEBAK;CIBEBER;WANASARI;;;
290;BANTEN;KABUPATEN LEBAK;CIBEBER;WARUNGBANTEN;;;
291;BANTEN;KABUPATEN LEBAK;CIGEMBLONG;CIBUNGUR;;;
292;BANTEN;KABUPATEN LEBAK;CIGEMBLONG;CIGEMBLONG;;;
293;BANTEN;KABUPATEN LEBAK;CIGEMBLONG;CIKADONGDONG;;;
294;BANTEN;KABUPATEN LEBAK;CIGEMBLONG;CIKARATUAN;;;
295;BANTEN;KABUPATEN LEBAK;CIGEMBLONG;CIKARET;;;
296;BANTEN;KABUPATEN LEBAK;CIGEMBLONG;CIKATE;;;
297;BANTEN;KABUPATEN LEBAK;CIGEMBLONG;MUGIJAYA;;;
298;BANTEN;KABUPATEN LEBAK;CIGEMBLONG;PEUCANGPARI;;;
299;BANTEN;KABUPATEN LEBAK;CIGEMBLONG;WANGUNJAYA;;;
300;BANTEN;KABUPATEN LEBAK;CIHARA;BARUNAI;;;
301;BANTEN;KABUPATEN LEBAK;CIHARA;CIHARA;;;
302;BANTEN;KABUPATEN LEBAK;CIHARA;CIPARAHU;;;
303;BANTEN;KABUPATEN LEBAK;CIHARA;CITEPUSEUN;;;
304;BANTEN;KABUPATEN LEBAK;CIHARA;KARANGKAMULYAN;;;
305;BANTEN;KABUPATEN LEBAK;CIHARA;LEBAK PEUNDEUY;;;
306;BANTEN;KABUPATEN LEBAK;CIHARA;MEKARSARI;;;
307;BANTEN;KABUPATEN LEBAK;CIHARA;PANYAUNGAN;;;
308;BANTEN;KABUPATEN LEBAK;CIHARA;PONDOKPANJANG;;;
309;BANTEN;KABUPATEN LEBAK;CIJAKU;CIAPUS;;;
310;BANTEN;KABUPATEN LEBAK;CIJAKU;CIBEUREUM;;;
311;BANTEN;KABUPATEN LEBAK;CIJAKU;CIHUJAN;;;
312;BANTEN;KABUPATEN LEBAK;CIJAKU;CIJAKU;;;
313;BANTEN;KABUPATEN LEBAK;CIJAKU;CIMENGA;;;
314;BANTEN;KABUPATEN LEBAK;CIJAKU;CIPALABUH;;;
315;BANTEN;KABUPATEN LEBAK;CIJAKU;KANDANGSAPI;;;
316;BANTEN;KABUPATEN LEBAK;CIJAKU;KAPUNDUHAN;;;
317;BANTEN;KABUPATEN LEBAK;CIJAKU;MEKARJAYA;;;
318;BANTEN;KABUPATEN LEBAK;CIJAKU;SUKASENANG;;;
319;BANTEN;KABUPATEN LEBAK;CIKULUR;ANGGALAN;;;
320;BANTEN;KABUPATEN LEBAK;CIKULUR;CIGOONG SELATAN;;;
321;BANTEN;KABUPATEN LEBAK;CIKULUR;CIGOONG UTARA;;;
322;BANTEN;KABUPATEN LEBAK;CIKULUR;CIKULUR;;;
323;BANTEN;KABUPATEN LEBAK;CIKULUR;CURUGPANJANG;;;
324;BANTEN;KABUPATEN LEBAK;CIKULUR;MUARADUA;;;
325;BANTEN;KABUPATEN LEBAK;CIKULUR;MUNCANGKOPONG;;;
326;BANTEN;KABUPATEN LEBAK;CIKULUR;PARAGE;;;
327;BANTEN;KABUPATEN LEBAK;CIKULUR;PASIR GINTUNG;;;
328;BANTEN;KABUPATEN LEBAK;CIKULUR;SUKADAYA;;;
329;BANTEN;KABUPATEN LEBAK;CIKULUR;SUKAHARJA;;;
330;BANTEN;KABUPATEN LEBAK;CIKULUR;SUMURBANDUNG;;;
331;BANTEN;KABUPATEN LEBAK;CIKULUR;TAMAN JAYA;;;
332;BANTEN;KABUPATEN LEBAK;CILELES;BANJARSARI;;;
333;BANTEN;KABUPATEN LEBAK;CILELES;CIKAREO;;;
334;BANTEN;KABUPATEN LEBAK;CILELES;CILELES;;;
335;BANTEN;KABUPATEN LEBAK;CILELES;CIPADANG;;;
336;BANTEN;KABUPATEN LEBAK;CILELES;DAROYON;;;
337;BANTEN;KABUPATEN LEBAK;CILELES;GUMURUH;;;
338;BANTEN;KABUPATEN LEBAK;CILELES;KUJANGSARI;;;
339;BANTEN;KABUPATEN LEBAK;CILELES;MARGAMULYA;;;
340;BANTEN;KABUPATEN LEBAK;CILELES;MEKARJAYA;;;
341;BANTEN;KABUPATEN LEBAK;CILELES;PARUNGKUJANG;;;
342;BANTEN;KABUPATEN LEBAK;CILELES;PASINDANGAN;;;
343;BANTEN;KABUPATEN LEBAK;CILELES;PRABUGANTUNGAN;;;
344;BANTEN;KABUPATEN LEBAK;CILOGRANG;CIBARENO;;;
345;BANTEN;KABUPATEN LEBAK;CILOGRANG;CIJENGKOL;;;
346;BANTEN;KABUPATEN LEBAK;CILOGRANG;CIKAMUNDING;;;
347;BANTEN;KABUPATEN LEBAK;CILOGRANG;CIKATOMAS;;;
348;BANTEN;KABUPATEN LEBAK;CILOGRANG;CILOGRANG;;;
349;BANTEN;KABUPATEN LEBAK;CILOGRANG;CIREUNDEU;;;
350;BANTEN;KABUPATEN LEBAK;CILOGRANG;GIRIMUKTI;;;
351;BANTEN;KABUPATEN LEBAK;CILOGRANG;GUNUNGBATU;;;
352;BANTEN;KABUPATEN LEBAK;CILOGRANG;LEBAKTIPAR;;;
353;BANTEN;KABUPATEN LEBAK;CILOGRANG;PASIRBUNGUR;;;
354;BANTEN;KABUPATEN LEBAK;CIMARGA;CIMARGA;;;
355;BANTEN;KABUPATEN LEBAK;CIMARGA;GIRIMUKTI;;;
356;BANTEN;KABUPATEN LEBAK;CIMARGA;GUNUNG ANTEN;;;
357;BANTEN;KABUPATEN LEBAK;CIMARGA;INTEN JAYA;;;
358;BANTEN;KABUPATEN LEBAK;CIMARGA;JAYAMANIK;;;
